Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,n_estimators
PLUG,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.5158580645335715,-0.06682171753918376,0.1416726147313863,0.08856762619827693,3.6411981631852233,-0.7544711358706796,1,0,100
ABEV,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.5991968460203875,0.1940641396992894,-0.0988507422538728,0.3089045552173911,6.061632238243633,0.628233337519795,0,0,100
IAG,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.23163599841539861,-0.22334096582639004,-0.11043614044055286,0.0514650340808062,2.097465535207534,-4.3396641975543675,0,0,100
MRVL,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.4375079199975544,-0.2914813067298053,-0.0034106149902472585,0.2164792606924628,128.27830794405688,-1.346462962768026,0,0,100
QCOM,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.2538164193296419,-0.2866088142291872,-0.11640124008347269,0.07864856833437375,2.180530200087449,-3.644170775120434,0,0,100
WMT,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.03613038238510605,-0.05842019708790486,-0.07021144199911564,0.020893363895369665,0.5145939373465814,-2.796112554228369,1,0,100
APH,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.0694944498494866,0.014175756827735492,-0.0016639378196286851,0.05099150635553132,41.76505217304009,0.2780023153051601,0,0,100
MS,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.27431814281857,0.01768889695035781,0.18951061486552848,0.08134008944783148,1.4475080618213316,0.2174683734728717,1,0,100
PFE,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.12412116163637882,0.04289484103124501,-0.017464068276255292,0.10391120327364539,7.107230667732669,0.41280285166444863,0,0,100
CSCO,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.03640675006158647,-0.01743094515531572,0.1181256794051201,0.054854245561708107,0.3082035188701605,-0.3177683874205659,0,0,100
LOW,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.131149687894327,-0.0010097742749432142,0.10477122887901331,0.04056319967918669,1.2517719730649979,-0.024893851642116334,1,0,100
HD,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.2074617378896897,0.027589799311383802,0.0931072825403948,0.0571342424517536,2.2282009766495112,0.48289428768888837,1,0,100
