Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
LRCX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.11595624442960101,0.1364187430239544,1,0.11888888888888888,-0.99
CDE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.22077855854098133,-0.11844030906066949,0,0.33666666666666667,-0.01
ORCL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.0019185772510446862,0.24375610655327182,1,0.22777777777777777,-0.99
AMZN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.20021544018922288,-0.30132390454971114,0,0.5544444444444444,-0.01
ASX,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.05828730624539988,0.021540857516699395,0,0.6633333333333333,-0.8811111111111111
PTEN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.3098586745683399,-0.04578111482118731,0,0.6633333333333333,-0.01
FHN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.006913001192634695,0.085693616162841,1,0.8811111111111111,-0.7722222222222221
KMB,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.10247730448037409,-0.1285313532431524,0,0.01,-0.11888888888888888
OXY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2128375661118539,-0.2517453740194025,0,0.7722222222222221,-0.11888888888888888
ERIC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2252736115579954,0.22839077943144379,1,0.22777777777777777,-0.33666666666666667
AES,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.09414327761592811,0.1093164547076177,1,0.8811111111111111,-0.01
MSTR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0659913905035951,-0.07348728288657139,0,0.99,-0.01
MRK,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.04815823267876031,-0.03471692177043968,1,0.6633333333333333,-0.99
NVDA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0973491875229874,0.024131117545968674,0,0.11888888888888888,-0.11888888888888888
CAG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.0328157281995358,0.08258834251388293,1,0.11888888888888888,-0.7722222222222221
MCHP,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.002075806788464073,0.01011272462295976,1,0.8811111111111111,-0.7722222222222221
FE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.18580008859622688,0.01978475938868699,1,0.01,-0.99
BA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.03192516495744881,-0.2124381122372393,0,0.01,-0.11888888888888888
NVO,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.11955432050732406,-0.1991062668987071,0,0.11888888888888888,-0.7722222222222221
