Ticker,Train Start,Train End,Test Start,Test End,Precision,F1 Score,Recall,Trigger Up,Trigger Down
IPG,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3338403708774079,0.32548480247058864,0.32275132275132273,0.99,-0.7424999999999999
IPG,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4317615935262994,0.40162935606769073,0.3968253968253968,0.99,-0.7424999999999999
IPG,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.19319168971028045,0.24095603373846053,0.373015873015873,0.99,-0.7424999999999999
IPG,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.4025182668436225,0.31490177206421166,0.3492063492063492,0.99,-0.7424999999999999
IPG,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.21028879388012517,0.2207160108517275,0.3439153439153439,0.99,-0.7424999999999999
IPG,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.37690248495042206,0.32878844244475713,0.36772486772486773,0.99,-0.7424999999999999
IPG,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.4710014782707576,0.16917281923005248,0.2777777777777778,0.99,-0.7424999999999999
IPG,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.33276970528317096,0.30225475410916686,0.29365079365079366,0.99,-0.7424999999999999
IPG,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3372414636266089,0.3137804281589844,0.3386243386243386,0.99,-0.7424999999999999
IPG,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.3883221688895222,0.30596456893182483,0.2857142857142857,0.99,-0.7424999999999999
IPG,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4235312131679565,0.3540293122462225,0.3439153439153439,0.99,-0.7424999999999999
IPG,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3538872433609276,0.2613663243804404,0.2724867724867725,0.99,-0.7424999999999999
VLY,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3020931424687293,0.3349189177474986,0.3783068783068783,0.0,0.0
VLY,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.41704305931948205,0.4257336921696783,0.46296296296296297,0.0,0.0
VLY,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.3708091502612051,0.24526289013750008,0.3915343915343915,0.0,0.0
VLY,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.2761955411095256,0.30442818088711066,0.373015873015873,0.0,0.0
VLY,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,0.0
VLY,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.29577039445460496,0.3143364851676495,0.4074074074074074,0.0,0.0
VLY,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.36507936507936506,0.1850676072898295,0.29894179894179895,0.0,0.0
VLY,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.31038633007544925,0.3471204312850913,0.3941798941798942,0.0,0.0
VLY,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3321128818122097,0.3391744978134159,0.3888888888888889,0.0,0.0
VLY,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.38034235916588854,0.4087027516689458,0.4470899470899471,0.0,0.0
VLY,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.3751645237984036,0.4068528706114259,0.4444444444444444,0.0,0.0
VLY,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3137584403407188,0.34391252385069676,0.3941798941798942,0.0,0.0
UNH,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3020931424687293,0.3349189177474986,0.3783068783068783,0.0,0.0
UNH,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.41704305931948205,0.4257336921696783,0.46296296296296297,0.0,0.0
UNH,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.3708091502612051,0.24526289013750008,0.3915343915343915,0.0,0.0
UNH,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.2761955411095256,0.30442818088711066,0.373015873015873,0.0,0.0
UNH,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,0.0
UNH,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.29577039445460496,0.3143364851676495,0.4074074074074074,0.0,0.0
UNH,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.36507936507936506,0.1850676072898295,0.29894179894179895,0.0,0.0
UNH,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.31038633007544925,0.3471204312850913,0.3941798941798942,0.0,0.0
UNH,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3321128818122097,0.3391744978134159,0.3888888888888889,0.0,0.0
UNH,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.38034235916588854,0.4087027516689458,0.4470899470899471,0.0,0.0
UNH,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.3751645237984036,0.4068528706114259,0.4444444444444444,0.0,0.0
UNH,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3137584403407188,0.34391252385069676,0.3941798941798942,0.0,0.0
NGD,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33323590260308605,0.3292447825907401,0.3439153439153439,0.0,-0.99
NGD,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4312874779541446,0.4130388222428024,0.43915343915343913,0.0,-0.99
NGD,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.42379493322889544,0.2804593182302161,0.3783068783068783,0.0,-0.99
NGD,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.3644999303369436,0.34018427512036703,0.36507936507936506,0.0,-0.99
NGD,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.99
NGD,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3675939186590816,0.30327033031064493,0.3941798941798942,0.0,-0.99
NGD,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.494078333087621,0.23443766110432776,0.29894179894179895,0.0,-0.99
NGD,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34026851527678337,0.3385594890729938,0.3492063492063492,0.0,-0.99
NGD,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.349385380783058,0.34228120023630365,0.36772486772486773,0.0,-0.99
NGD,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.4014854639585822,0.3577026533266548,0.37566137566137564,0.0,-0.99
