Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
F,2009-03-20,2009-09-17,2009-09-18,2010-03-19,1.0202214707652904,0.48861591555775075,1.0580303050757462,0.6907678869986464,0.9642648852976389,0.7073518105781721,0,0,0.0,-1.1111111111111112,0.12
PBR,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.4071369575163782,0.22206080847375423,0.40794297842663396,0.04117450216599208,0.9980241824154825,5.393163166333665,0,1,0.0,-2.2222222222222223,0.12
TSM,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.43914896449702684,0.0063502931108530124,0.3486675409262484,-0.05611100574137469,1.2595063002722053,-0.11317375311578996,1,1,0.0,-1.1111111111111112,0.12
CTRA,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.48484223496727225,-0.027772869620639424,0.49787759992735764,0.05294670843419874,0.9738181332882072,-0.5245438374163536,0,0,0.0,-2.2222222222222223,0.12
C,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.9493603714551451,0.2017320347136667,0.7304493926006188,-0.0415776627670138,1.2996935599811201,-4.8519330161510075,1,1,0.0,-0.5555555555555556,0.01
RIG,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.520024362328097,-0.1496481533613731,0.39824444190178676,-0.030674650802275685,1.305791889636323,4.878560943561615,1,0,0.0,0.0,0.12
B,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.3206108294593151,0.0449217111071714,0.1857064324002,0.10884280396077405,1.7264390108383227,0.4127210019631686,1,0,0.0,0.0,0.12
HL,2009-03-20,2009-09-17,2009-09-18,2010-03-19,1.1902558058823918,-0.09604892964778337,0.91053778984615,0.3669425645269188,1.3072008862844722,-0.26175466934890634,1,0,0.0,0.0,0.12
EXAS,2009-03-20,2009-09-17,2009-09-18,2010-03-19,1.9265270724359402,0.1714299397141449,0.9821993869346927,0.5400757872837108,1.9614419414864048,0.3174183026725653,1,0,0.0,0.0,0.12
BKR,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.4112681430911151,0.04740023620153233,0.3445617780289822,0.1159195472105525,1.193597692244675,0.40890632634577223,1,0,0.0,0.0,0.12
AMD,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.9137612344915674,0.381629053404704,0.8672330636500919,0.5610344434203576,1.053651287977471,0.6802239289946174,1,0,0.0,-0.5555555555555556,0.12
