Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
IPG,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.17782393865679452,-0.07372649757125822,0.2644873198850511,-0.18394831480829282,0.6723344572211577,0.4008000706507938,0,1,0.0,-1.1111111111111112,1.005
UNH,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.3287582973562896,-0.09313634534077919,0.05344215007049058,-0.08285345500308841,6.151666744744645,1.124109372835538,1,0,0.0,0.0,0.5075
LEN,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.1957141151810933,-0.26151065975702575,0.00800871026127657,-0.5370991309784068,24.43765710034526,0.486894587374671,1,1,0.0,0.0,2.0
KO,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.0847756690799039,0.0036744409357554993,0.0861576260630927,0.17396125413656463,0.983960131606031,0.021122180073908623,0,0,0.0,-1.1111111111111112,2.0
XOM,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.06943903138928723,-0.0708989868589391,0.10102715814765259,0.24848776035671147,0.6873303442605118,-0.28532184747112505,0,0,0.0,-1.1111111111111112,1.005
ABT,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.11327119717436179,-0.0789421915314168,0.1263296161181674,0.003612814462837493,0.8966321647681499,-21.85060770306368,0,0,0.0,0.0,2.0
^VIX,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.4970903628640778,-0.9538464156286269,0.4725288054472859,0.8704747311603204,1.0519789632582133,-1.0957772597915327,1,0,0.0,0.0,1.005
TEVA,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.20518489285690078,0.027835919305659502,0.06009130205854692,0.176746856065345,3.4145522867350966,0.1574903221778853,1,0,0.0,0.0,1.005
LNW,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.10477628142497843,0.0438055089448281,0.04519744867268381,0.1363099888669645,2.318190174488821,0.32136682945210493,1,0,0.0,-1.1111111111111112,2.0
GOOG,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.12985104691047356,0.10625359697595281,0.08855485728653159,0.16746009336527085,1.466334551139554,0.634501001645736,1,0,0.0,0.0,1.005
KR,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.16305895745437923,-0.008798189956462803,0.22846203813911048,0.058950582518264585,0.7137245153835696,-0.14924687052476318,0,0,0.0,-1.1111111111111112,2.0
GOOGL,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.1298503506856521,0.1062539239344205,0.08855475120993969,0.16746029808226737,1.4663284455264467,0.6345021784340887,1,0,0.0,0.0,1.005
CRM,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.4685000608874377,-0.18487982044707607,0.25189976146495036,0.09571474054901892,1.859867028705485,-1.93157103479158,1,0,0.0,0.0,2.0
NFLX,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.36031408186476255,-0.19289378637675303,0.046439665346034095,-0.13329480143890268,7.758757070706002,1.4471216003511456,1,0,0.0,0.0,0.5075
ASX,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.30826772502743105,-0.0050893466136218285,0.0050302878822069096,-0.09410382211622434,61.2823226515192,0.05408225191253289,1,1,0.0,0.0,0.5075
MRK,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.09041690053948048,-0.10067686323195732,0.16310109260166067,-0.1491913726166383,0.5543610965274421,0.6748169245057908,0,1,0.0,-1.1111111111111112,2.0
MCHP,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.02054597442635541,-0.09030687415428876,0.028518974039041106,-0.05700096790660277,0.7204317517954524,1.5843042227328206,0,0,0.0,-1.1111111111111112,2.0
FE,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.08799192603774428,0.07755550201702391,0.0035871834397424116,0.08228477580602922,24.529530623631224,0.9425255310878689,1,0,0.0,0.0,2.0
EQT,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.10203045747365991,0.05283895983456972,0.1084048346953098,0.1510289204017449,0.9411984046692552,0.3498598791146444,0,0,0.0,0.0,1.5025
TXN,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.1035986089121586,0.10556373527574872,0.11145683924507299,-0.1983060180188964,0.9294953061100575,-0.5323274418514603,0,1,0.0,0.0,2.0
GGB,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.27524629317389326,0.0917613353363616,0.33929262622682826,0.2897212639014961,0.8112357059887357,0.3167228186867224,0,0,0.0,-1.1111111111111112,1.5025
KGC,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.13092307782118787,0.4944687036467783,0.07043362667135038,0.4944687036467783,1.8588149440619706,1.0,1,0,0.0,-1.1111111111111112,2.0
ABEV,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.47911440755414625,-0.13555631828351228,0.3100842868002492,0.03038881801919928,1.5451102424379966,-4.460730200097598,1,0,0.0,0.0,1.005
FCX,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.3654365226896516,-0.1742649901378696,0.5493538783524406,-0.0999351856853771,0.665211509538491,1.7437801205123367,0,0,0.0,-1.1111111111111112,1.5025
EQNR,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.2066265257010635,-0.01944885625338956,0.3150196709546749,-0.13474254965321839,0.6559162641332101,0.14434086562443948,0,1,0.0,-1.1111111111111112,1.005
IAG,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.5465112115385562,-0.20534082793644468,0.08910813484268185,-0.0859621730074573,6.133123676120119,2.3887347277578845,1,0,0.0,0.0,2.0
TU,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.13619687467525,0.20591674831261048,0.12042900847895428,-0.2605365961425322,1.1309307981145693,-0.7903563313614462,1,1,0.0,0.0,2.0
DVN,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.1598139083954437,0.06419656829271722,0.23136341443079542,0.18357060666128558,0.6907484002542963,0.3497104981037035,0,0,0.0,-1.1111111111111112,2.0
MS,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.0635104463535384,-0.08106581496858185,0.04354490821891646,-0.3436247694115641,1.4585045405136177,0.23591377044036138,1,1,0.0,-1.1111111111111112,2.0
RIG,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.18826940457532843,-0.22307401864689697,0.3288675235877312,0.05886818939757485,0.5724779465039036,-3.789381343807506,0,0,0.0,-1.1111111111111112,2.0
CCL,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.04422788669761021,0.06754654754338522,0.009084227458765678,-0.18528414615673128,4.868645891834558,-0.36455654163874235,1,1,0.0,0.0,2.0
B,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.38732551611872046,0.2207652101278149,0.31090855447116533,0.2207652101278149,1.245785973234269,1.0,1,0,0.0,0.0,1.5025
HAL,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.1396412421626534,-0.014880576780474768,0.2205390922120358,-0.030330758219796503,0.6331813591959301,0.4906101150732989,0,1,0.0,-1.1111111111111112,1.005
NOK,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.30442560555287135,-0.05836685976373848,0.497879863586455,-0.17536211898652768,0.611443900060459,0.3328361911971568,0,1,0.0,-1.1111111111111112,2.0
AMD,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.22366316323262989,-0.19026866105945858,0.008394632097300327,-0.6753103240439136,26.64359326772151,0.28174996632671934,1,1,0.0,0.0,1.5025
CPRT,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.09439491319641649,0.2641818458165183,0.06419382457838939,0.2738818825862716,1.4704671955033224,0.9645831382559676,1,0,0.0,0.0,2.0
APA,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.3140166778188195,0.05732078389438125,0.23971530821339948,0.26385202346925424,1.309956715568934,0.21724595150228454,1,0,0.0,0.0,2.0
