Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
JHX,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.215599628378479,-0.1611330345596852,0,0.33666666666666667,-0.01
^VIX,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.5581605818687233,1.7554961248254286,1,0.33666666666666667,-0.99
TEVA,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.6898144116259378,-0.24897498087082134,0,0.99,-0.7722222222222221
TSCO,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.28186550866121923,-0.0014500279503926218,0,0.99,-0.8811111111111111
WIT,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.18491465488331668,0.05657359926203917,0,0.22777777777777777,-0.8811111111111111
CCJ,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.16423823055825718,0.019112611648159722,0,0.7722222222222221,-0.7722222222222221
TGT,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.3086179166728264,0.0924284402382872,0,0.01,-0.7722222222222221
CDE,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.2371146927784033,0.055345050769777214,0,0.99,-0.8811111111111111
KGC,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.1767816187727858,-0.0880829917775928,0,0.99,-0.99
DVN,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.49985342698519475,0.0310051128711493,0,0.01,-0.01
HAL,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.4583716626514487,-0.08396870484201933,0,0.22777777777777777,-0.6633333333333333
SLB,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.530493711042017,0.007985549668941584,0,0.5544444444444444,-0.11888888888888888
BKR,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.4222186034594967,-0.3545518595287631,0,0.99,-0.6633333333333333
JHX,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.19827943332609538,0.01035171758645411,0,0.5544444444444444,-0.99
APA,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.40065993836890534,-0.16990017894574846,0,0.11888888888888888,-0.11888888888888888
CNQ,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.32610696186332305,0.18412445564156057,0,0.6633333333333333,-0.01
TSCO,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.3902400194200273,-0.17745527361321212,0,0.22777777777777777,-0.7722222222222221
BBWI,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.5653912434327135,0.11589091984402448,0,0.01,-0.8811111111111111
CCJ,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.4661406653922531,-0.1535765631305365,0,0.22777777777777777,-0.11888888888888888
ON,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.3004465406906635,-0.29501605067559417,0,0.01,-0.99
NFLX,2017-08-15,2018-02-13,2018-02-14,2018-08-14,0.3710401745040805,-0.17690659036437378,0,0.11888888888888888,-0.99
CDE,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.5819909045541583,0.14261921543961179,0,0.5544444444444444,-0.11888888888888888
ERIC,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.22933759888429808,-0.0733044049572237,0,0.8811111111111111,-0.8811111111111111
MCHP,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.1424221382393195,-0.3288083917997293,0,0.8811111111111111,-0.5544444444444444
PBR-A,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.4293165398681891,-0.4418639029895631,0,0.5544444444444444,-0.01
AAPL,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.24601193850653363,-0.08834107988817952,0,0.44555555555555554,-0.8811111111111111
PBR,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.5642847360487804,-0.4855121699473465,0,0.44555555555555554,-0.44555555555555554
APH,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.21622142045847625,0.13547014438377916,0,0.11888888888888888,-0.8811111111111111
PFE,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.1560371282527137,-0.02514776333192567,0,0.01,-0.6633333333333333
EXAS,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.5631547326181198,0.5250333816052274,0,0.6633333333333333,-0.7722222222222221
CPRT,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.157134954616178,-0.1446201167046483,0,0.6633333333333333,-0.99
TEVA,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.26687212887036543,-0.1872936477230167,0,0.11888888888888888,-0.7722222222222221
ES,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.1877261938852098,0.13736190668382717,0,0.11888888888888888,-0.11888888888888888
TGT,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.13537587731321693,-0.13810412051556237,0,0.11888888888888888,-0.8811111111111111
LUMN,2018-02-14,2018-08-14,2018-08-15,2019-02-14,0.2555796939858131,0.4285578793055298,1,0.7722222222222221,-0.99
MU,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.5006025778644289,-0.48993571971496525,0,0.7722222222222221,-0.8811111111111111
PCG,2018-08-15,2019-02-14,2019-02-15,2019-08-15,1.9166592022807425,-0.13544870462568182,0,0.01,-0.01
HAL,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.47018255695453376,-0.29599055840745914,0,0.11888888888888888,-0.22777777777777777
RF,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.34874351408057186,0.15472783164974985,0,0.8811111111111111,-0.33666666666666667
IPG,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.3576767458546529,0.10594243094267895,0,0.22777777777777777,-0.5544444444444444
VLY,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.19573534728234987,0.0038195815403339224,0,0.11888888888888888,-0.7722222222222221
NGD,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.7427023874164548,-0.28157496484746136,0,0.7722222222222221,-0.8811111111111111
EXAS,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.8331366889374292,0.3341959254765634,0,0.33666666666666667,-0.6633333333333333
TEVA,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.9233123109827204,0.8617815074998655,0,0.11888888888888888,-0.11888888888888888
BBWI,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.6151356633640686,-0.11649014410471531,0,0.44555555555555554,-0.01
FAST,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.23227920836349011,-0.06992368498903365,0,0.01,-0.22777777777777777
CCJ,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.22236501216912508,-0.42686840400237785,0,0.8811111111111111,-0.7722222222222221
TJX,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.204055081010768,-0.02570140764789056,0,0.99,-0.8811111111111111
NFLX,2018-08-15,2019-02-14,2019-02-15,2019-08-15,0.2125081254752107,0.1825329172100417,0,0.8811111111111111,-0.7722222222222221
MSTR,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.3486145091394331,0.016097447952203917,0,0.6633333333333333,-0.7722222222222221
MRVL,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.20015006821363096,0.046874232960970916,0,0.6633333333333333,-0.99
QCOM,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.4458841302758268,-0.16031073989832972,0,0.01,-0.7722222222222221
PBR,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.3063694904441438,-0.35931460042408625,0,0.99,-0.8811111111111111
TSM,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.18683202342614058,0.0817667353183562,0,0.7722222222222221,-0.6633333333333333
CTRA,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.5046508956767806,0.07278361038985837,0,0.8811111111111111,-0.22777777777777777
PCG,2019-02-15,2019-08-15,2019-08-16,2020-02-14,1.5404799940795892,1.3755054313462183,0,0.7722222222222221,-0.44555555555555554
B,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.4560995449142876,-0.19322562380211367,0,0.11888888888888888,-0.11888888888888888
SLB,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.21686523372619515,0.18707805242870656,0,0.99,-0.5544444444444444
BKR,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.34801313810936046,0.029457256451920814,0,0.01,-0.7722222222222221
LYG,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.2347078281995709,0.14219041743729058,0,0.6633333333333333,-0.6633333333333333
NEM,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.3551423183064845,-0.06210482871423922,0,0.5544444444444444,-0.5544444444444444
LNW,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.25104275068354337,-0.02556505955636828,0,0.11888888888888888,-0.99
HPQ,2019-02-15,2019-08-15,2019-08-16,2020-02-14,0.34692325116665773,0.008254652219336038,0,0.11888888888888888,-0.5544444444444444
OXY,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.4932001518558955,0.7993748114166069,1,0.5544444444444444,-0.8811111111111111
BA,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.2228000869921476,-0.5028604964987161,0,0.8811111111111111,-0.99
PLUG,2019-08-16,2020-02-14,2020-02-18,2020-08-14,1.0984826276433193,-2.126863097759578,0,0.01,-0.6633333333333333
QCOM,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.21359080306478934,0.4789587079966342,1,0.5544444444444444,-0.01
DVN,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.406609828153397,0.2964649424951527,0,0.6633333333333333,-0.5544444444444444
PCG,2019-08-16,2020-02-14,2020-02-18,2020-08-14,1.0074074634869545,-0.23861747415162024,0,0.7722222222222221,-0.8811111111111111
RIG,2019-08-16,2020-02-14,2020-02-18,2020-08-14,1.0938713736775252,0.08804986775259001,0,0.44555555555555554,-0.01
CCL,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.34176100761293055,1.9368476118106612,1,0.6633333333333333,-0.99
NGD,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.4339428392020104,0.24601743778748372,0,0.7722222222222221,-0.33666666666666667
^VIX,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.7238666369675121,1.0795888689905517,1,0.99,-0.44555555555555554
LNW,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.5379587437054955,-0.27740859825900727,0,0.01,-0.8811111111111111
FAST,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.3415425539467885,0.4734857684631613,1,0.8811111111111111,-0.99
ON,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.5487107123949182,1.0937753371274288,1,0.01,-0.33666666666666667
VALE,2019-08-16,2020-02-14,2020-02-18,2020-08-14,0.33643779938304025,0.6721410695820706,1,0.5544444444444444,-0.8811111111111111
PTEN,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.1770446755739588,0.8791971311933597,0,0.6633333333333333,-0.01
CAG,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.4902223103121806,-0.10221889910425698,0,0.22777777777777777,-0.5544444444444444
EQT,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.9429456774330125,-0.19679963122079255,0,0.33666666666666667,-0.22777777777777777
IAG,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.7801760062951532,0.035672436086438976,0,0.01,-0.8811111111111111
HBAN,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.22331669307499846,-0.5035159846702658,0,0.99,-0.99
F,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.9106142950953912,0.5611280230916561,0,0.99,-0.11888888888888888
DVN,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.9805418273671151,-0.7890068314879028,0,0.44555555555555554,-0.01
RIG,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.3996083459217439,-0.5022584361102378,0,0.33666666666666667,-0.01
HAL,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.1658694995743677,-0.5501939239119038,0,0.5544444444444444,-0.8811111111111111
NGD,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.7701034108309417,0.4109853685191301,0,0.44555555555555554,-0.11888888888888888
APA,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.877815392373619,-0.3385576392819647,0,0.01,-0.01
LYG,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.5336134504804124,0.4407862494116913,0,0.8811111111111111,-0.5544444444444444
NEM,2020-02-18,2020-08-14,2020-08-17,2021-02-16,0.5980419503395902,-0.025787448246063813,0,0.7722222222222221,-0.7722222222222221
LNW,2020-02-18,2020-08-14,2020-08-17,2021-02-16,1.788603780196684,-0.7034017936741598,0,0.11888888888888888,-0.22777777777777777
FHN,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.3950592573959508,-0.27830703116950356,0,0.22777777777777777,-0.99
MSTR,2020-08-17,2021-02-16,2021-02-17,2021-08-16,1.1064155695849593,-0.9701652229671519,0,0.01,-0.99
MCHP,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.22932267723504374,-0.3024673746322704,0,0.01,-0.8811111111111111
FE,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.18869624436520727,-0.06176864858010126,0,0.8811111111111111,-0.99
CNC,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.3635982712624915,-0.013675996247799648,0,0.99,-0.6633333333333333
PLUG,2020-08-17,2021-02-16,2021-02-17,2021-08-16,1.4284785359712737,-1.3064187854615734,0,0.01,-0.5544444444444444
EQNR,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.1517851874148625,0.006630616826868321,0,0.8811111111111111,-0.99
UNH,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.2663598918320917,0.006335626682959158,0,0.7722222222222221,-0.44555555555555554
SLB,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.4670364407514066,-0.09112365203695078,0,0.5544444444444444,-0.99
BKR,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.43240026442927965,-0.11246272266694621,0,0.44555555555555554,-0.99
BP,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.4096575693104638,-0.1505534583196663,0,0.5544444444444444,-0.8811111111111111
SHEL,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.3799388645255749,0.017033378291577722,0,0.7722222222222221,-0.01
BSX,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.41577392202025426,0.17562033349970205,0,0.22777777777777777,-0.11888888888888888
LNW,2020-08-17,2021-02-16,2021-02-17,2021-08-16,0.3419835234250195,0.407967471659425,1,0.5544444444444444,-0.99
PTEN,2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.1646957312281316,0.22822757712824784,1,0.99,-0.7722222222222221
NVO,2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.1845696427731107,0.03882972064430313,0,0.01,-0.99
GGB,2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.348476610320043,0.12394017336136072,0,0.11888888888888888,-0.99
KGC,2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.21554522271114207,0.05670526705627182,0,0.8811111111111111,-0.7722222222222221
FCX,2021-02-17,2021-08-16,2021-08-17,2022-02-14,0.6454621749207947,-0.007218957405559178,0,0.01,-0.11888888888888888
