Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,C
BAC,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.43812151563776663,-0.422184442973506,0.39910007285855836,-0.0125257379309868,1.0977735796932253,33.70535494991356,1,0,0.01
QCOM,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.115086350318953,0.0418380861727944,0.24497090346262992,-0.004759049604181027,0.4697959990032421,-8.791269192915717,0,1,2.23
PBR,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.21202462122582635,0.2910032013571521,0.13269734562879232,-0.09009471134960599,1.597806046693234,-3.2299698505935077,1,1,1.12
CTRA,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.35513900903228063,-0.430617681270079,0.008642354586062106,0.3554565649201904,41.09285328387572,-1.2114495096377367,1,0,0.01
PPL,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.018028951372180017,-0.06473281269400569,0.010711745112271305,0.06931435034019681,1.6831012298384667,-0.9339020329310626,1,0,1.12
SONY,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.20425541116750454,0.2717471180034543,0.1240436871022115,-0.4365761013589113,1.646640920945851,-0.622450741480349,1,1,0.01
RIG,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.13757229469230084,-0.2577288531692401,0.08384164013119938,-0.1991989508343667,1.6408588199970944,1.2938263584708376,1,0,0.01
CCL,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.06089323930767604,0.04286234863797341,0.07242756845421591,0.17505483425156318,0.8407467019435957,0.2448509852425893,0,0,3.34
NOK,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.101824193375461,0.3651089856199624,-0.010168530695933745,-0.379084802737806,10.013658454724348,-0.9631327422864009,0,1,0.01
MNST,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.20042234026608013,-0.274281380604196,0.2884598160368299,-0.07668271801620231,0.6948015949663181,3.576834359812898,0,0,0.01
UNH,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.2144508982911715,-0.19677860341924516,0.140949642908591,0.015350986506550923,1.5214717388837071,-12.81862916987591,1,0,0.01
